page,entry_sessions,avg_duration_seconds,avg_clicks,avg_pages,bounce_proxy_rate,abandono_rapido_rate,frustration_rate,engagement_score_avg,exit_sessions
https://cloudlabslearning.com/,37314,169.53266870343572,4.147344160368762,1.7664415500884387,0.9156884815350806,0.6977273945436029,0.02513801790212789,0.011775719837074185,34961
https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,25367,152.05061694327276,4.392005361296172,1.693814798754287,0.904009145740529,0.690109196988213,0.04793629518665983,-0.028192988339099334,23404
https://cloudlabslearning.com/elementary-school,1297,158.8727833461835,2.6630686198920586,1.5505011565150346,0.8766383962991519,0.7417116422513492,0.025443330763299923,-0.03508467699421245,3566
https://cloudlabslearning.com/downloads,335,317.0268656716418,3.080597014925373,1.982089552238806,0.7731343283582089,0.5701492537313433,0.008955223880597015,0.3537659072351601,395
https://cloudlabslearning.com/middle-school,251,212.20318725099602,2.537848605577689,1.2868525896414342,0.9442231075697212,0.8565737051792829,0.035856573705179286,0.08557451384614373,480
https://cloudlabslearning.com/higher-education,219,261.7990867579909,2.1780821917808217,1.4703196347031964,0.9178082191780822,0.8264840182648402,0.0182648401826484,0.20253766832701672,637
https://cloudlabslearning.com/high-school,193,436.23316062176167,3.5958549222797926,1.7461139896373057,0.8652849740932642,0.7461139896373057,0.05699481865284974,0.6392284951368938,545
https://cloudlabslearning.com/hybrid-laboratories,184,182.20652173913044,1.766304347826087,1.4076086956521738,0.8913043478260869,0.8206521739130435,0.016304347826086956,0.007202637970300248,545
https://cloudlabslearning.com/about-cloudlabs,165,332.43030303030304,2.296969696969697,1.6363636363636365,0.9151515151515152,0.7393939393939394,0.006060606060606061,0.37491728235682314,283
https://cloudlabslearning.com/register,158,213.06962025316454,7.8734177215189876,2.1772151898734178,0.8417721518987342,0.6582278481012658,0.012658227848101266,0.16697502079097326,142
https://cloudlabslearning.com/terms-and-conditions,155,20.070967741935483,0.14838709677419354,2.109677419354839,0.2129032258064516,0.1870967741935484,0.0,-0.38517062595631035,34
https://cloudlabslearning.com/terms-conditions,133,103.21052631578948,1.4736842105263157,1.518796992481203,0.7969924812030075,0.7593984962406015,0.007518796992481203,-0.18219396937757368,118
https://cloudlabslearning.com/page-not-found,113,56.991150442477874,1.2035398230088497,1.336283185840708,0.831858407079646,0.7964601769911505,0.0,-0.2986002481803557,270
https://cloudlabslearning.com/privacy-policies,92,168.2391304347826,2.7065217391304346,1.858695652173913,0.8043478260869565,0.7391304347826086,0.0,-0.006791038501190902,89
https://cloudlabs.media/,76,271.7763157894737,2.763157894736842,2.0789473684210527,0.7631578947368421,0.7105263157894737,0.0,0.2440854568924839,59
https://cloudlabslearning.com/blogs-and-news/88,61,211.40983606557376,1.540983606557377,1.1967213114754098,0.9836065573770492,0.8360655737704918,0.0,0.07022382459704125,60
https://landing.cloudlabs.media/,61,323.9344262295082,3.5245901639344264,1.8524590163934427,0.8360655737704918,0.5409836065573771,0.03278688524590164,0.37316411220224666,58
https://cloudlabslearning.com/support,57,99.35087719298245,2.491228070175439,1.4035087719298245,0.9122807017543859,0.8421052631578947,0.05263157894736842,-0.18132956520719537,101
https://cloudlabslearning.com/pedagogical-approach,50,157.16,6.12,1.24,0.88,0.84,0.02,-0.003584579829607849,74
