explorador,sessions,unique_users,avg_duration_seconds,avg_clicks,avg_pages,bounce_proxy_rate,abandono_rapido_rate,frustration_rate,engagement_score_avg
ChromeMobile,27051,21377,111.99430704964696,3.5887767550182987,1.694059369339396,0.9193005803851984,0.7063324830875014,0.028575653395438248,-0.13301944208271846
Chrome,24438,16109,232.49423029707833,4.987519436942467,1.851829118585809,0.8927080775840903,0.6748097225632212,0.03764628856698584,0.17305168977524502
MobileSafari,5981,3798,115.47834810232402,3.0075238254472496,1.4392242099983281,0.920749038622304,0.7573984283564621,0.031098478515298445,-0.13619127737896564
GoogleApp,3542,2253,119.1253529079616,3.6047430830039526,1.4940711462450593,0.9023150762281197,0.715132693393563,0.040654997176736304,-0.11943532837414299
Edge,2503,1768,254.14382740711147,5.74230922892529,2.0251697962445068,0.8645625249700359,0.6360367558929285,0.04514582500998801,0.23661649612818814
SamsungInternet,1259,1049,102.59253375694996,3.188244638602065,1.6092136616362192,0.9293089753772835,0.7124702144559174,0.02938840349483717,-0.16165965542077274
Safari,745,323,190.56778523489933,3.628187919463087,1.5731543624161073,0.9140939597315436,0.7181208053691275,0.02953020134228188,0.05218740699194755
Opera,610,354,251.74754098360657,4.824590163934427,1.7885245901639344,0.8918032786885246,0.7065573770491803,0.03934426229508197,0.21578060829984613
Firefox,439,358,256.4715261958998,5.259681093394078,1.9043280182232347,0.8382687927107062,0.6469248291571754,0.05694760820045558,0.2342575053467686
EdgeMobile,384,253,125.41666666666667,3.6354166666666665,1.7916666666666667,0.8802083333333334,0.6536458333333334,0.03125,-0.09879703745428142
FacebookApp,158,155,96.01898734177215,1.9493670886075949,1.2025316455696202,0.9746835443037974,0.8924050632911392,0.02531645569620253,-0.19928449624930009
MiuiBrowser,157,119,221.22929936305732,4.687898089171974,1.9171974522292994,0.8789808917197452,0.643312101910828,0.05732484076433121,0.1438596444112784
FirefoxMobile,96,68,160.375,4.895833333333333,1.7604166666666667,0.84375,0.6666666666666666,0.041666666666666664,-0.001212420055646898
InstagramApp,41,38,95.04878048780488,3.1951219512195124,1.6341463414634145,0.8536585365853658,0.7317073170731707,0.024390243902439025,-0.17907666185682916
Unknown,6,6,112.66666666666667,3.0,1.0,1.0,1.0,0.0,-0.15080417517669698
YandexBrowser,2,2,332.5,5.0,1.5,0.5,0.5,0.0,0.4047975667420487
IE,1,1,32.0,0.0,1.0,1.0,1.0,0.0,-0.3783570826767756
UCBrowser,1,1,13.0,0.0,1.0,1.0,1.0,0.0,-0.4235505172673835
