ref_source_normalized,url_entrada_normalized,url_salida_normalized,sessions,avg_duration_seconds,avg_clicks,avg_pages,bounce_proxy_rate,abandono_rapido_rate,frustration_rate,engagement_score_avg,flow_path
External,https://cloudlabslearning.com/downloads,https://cloudlabslearning.com/downloads,122,187.00819672131146,2.1721311475409837,1.4262295081967213,1.0,0.7459016393442623,0.0,0.023782598887451916,External -> https://cloudlabslearning.com/downloads -> https://cloudlabslearning.com/downloads
Direct/Unknown,https://cloudlabslearning.com/terms-and-conditions,https://cloudlabslearning.com/page-not-found,121,11.264462809917354,0.09917355371900827,2.3140495867768593,0.0,0.0,0.0,-0.4030571916646394,Direct/Unknown -> https://cloudlabslearning.com/terms-and-conditions -> https://cloudlabslearning.com/page-not-found
External,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/elementary-school,114,327.03508771929825,14.517543859649123,4.815789473684211,0.0,0.0,0.0,0.5641430237912053,External -> https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND -> https://cloudlabslearning.com/elementary-school
External,https://cloudlabslearning.com/higher-education,https://cloudlabslearning.com/higher-education,113,157.5486725663717,1.0442477876106195,1.0884955752212389,1.0,0.9292035398230089,0.008849557522123894,-0.06572881507560693,External -> https://cloudlabslearning.com/higher-education -> https://cloudlabslearning.com/higher-education
Direct/Unknown,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/higher-education,109,377.8440366972477,18.045871559633028,4.1192660550458715,0.0,0.0,0.10091743119266056,0.7145340767470906,Direct/Unknown -> https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND -> https://cloudlabslearning.com/higher-education
Direct/Unknown,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/hybrid-laboratories,103,382.50485436893206,14.029126213592233,3.7184466019417477,0.0,0.0,0.05825242718446602,0.6706986930756755,Direct/Unknown -> https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND -> https://cloudlabslearning.com/hybrid-laboratories
Direct/Unknown,https://cloudlabslearning.com/hybrid-laboratories,https://cloudlabslearning.com/hybrid-laboratories,95,225.22105263157894,0.7894736842105263,1.1789473684210525,1.0,0.8842105263157894,0.010526315789473684,0.09382041661795008,Direct/Unknown -> https://cloudlabslearning.com/hybrid-laboratories -> https://cloudlabslearning.com/hybrid-laboratories
Direct/Unknown,https://cloudlabslearning.com/about-cloudlabs,https://cloudlabslearning.com/about-cloudlabs,87,371.60919540229884,0.6781609195402298,1.3218390804597702,1.0,0.7931034482758621,0.0,0.4432447944450388,Direct/Unknown -> https://cloudlabslearning.com/about-cloudlabs -> https://cloudlabslearning.com/about-cloudlabs
External,https://cloudlabslearning.com/high-school,https://cloudlabslearning.com/high-school,87,358.0574712643678,1.839080459770115,1.2758620689655173,1.0,0.8620689655172413,0.034482758620689655,0.4239972578740842,External -> https://cloudlabslearning.com/high-school -> https://cloudlabslearning.com/high-school
Direct/Unknown,https://cloudlabslearning.com/higher-education,https://cloudlabslearning.com/higher-education,77,335.3246753246753,2.0259740259740258,1.4805194805194806,1.0,0.8441558441558441,0.012987012987012988,0.37579870363751483,Direct/Unknown -> https://cloudlabslearning.com/higher-education -> https://cloudlabslearning.com/higher-education
Direct/Unknown,https://cloudlabslearning.com/,https://cloudlabslearning.com/hybrid-laboratories,76,368.7236842105263,8.078947368421053,3.1184210526315788,0.0,0.0,0.05263157894736842,0.5564490814988291,Direct/Unknown -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/hybrid-laboratories
Direct/Unknown,https://cloudlabslearning.com/terms-conditions,https://cloudlabslearning.com/terms-conditions,70,12.971428571428572,0.12857142857142856,1.0142857142857142,1.0,0.9857142857142858,0.0,-0.42183452595398074,Direct/Unknown -> https://cloudlabslearning.com/terms-conditions -> https://cloudlabslearning.com/terms-conditions
External,https://cloudlabslearning.com/,https://cloudlabslearning.com/downloads,68,628.0147058823529,10.705882352941176,4.838235294117647,0.0,0.0,0.04411764705882353,1.2351219890288567,External -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/downloads
Direct/Unknown,https://cloudlabslearning.com/high-school,https://cloudlabslearning.com/high-school,64,445.90625,1.09375,1.203125,1.0,0.859375,0.03125,0.6227927070308735,Direct/Unknown -> https://cloudlabslearning.com/high-school -> https://cloudlabslearning.com/high-school
Direct/Unknown,https://cloudlabslearning.com/,https://cloudlabslearning.com/high-school,63,405.1587301587302,12.333333333333334,4.0476190476190474,0.0,0.0,0.15873015873015872,0.7102874394498654,Direct/Unknown -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/high-school
Direct/Unknown,https://cloudlabslearning.com/,https://cloudlabslearning.com/downloads,61,404.3606557377049,5.819672131147541,4.278688524590164,0.0,0.0,0.0,0.63504427329847,Direct/Unknown -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/downloads
External,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/,60,333.8,10.216666666666667,4.6,0.0,0.0,0.0,0.5252341055896514,External -> https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND -> https://cloudlabslearning.com/
Direct/Unknown,https://cloudlabs.media/,https://cloudlabs.media/,56,66.16071428571429,1.625,1.1428571428571428,1.0,0.9285714285714286,0.0,-0.2752277037425687,Direct/Unknown -> https://cloudlabs.media/ -> https://cloudlabs.media/
Direct/Unknown,https://cloudlabslearning.com/middle-school,https://cloudlabslearning.com/middle-school,55,168.07272727272726,1.690909090909091,1.1090909090909091,1.0,0.9090909090909091,0.03636363636363636,-0.03263811988508195,Direct/Unknown -> https://cloudlabslearning.com/middle-school -> https://cloudlabslearning.com/middle-school
External,https://cloudlabslearning.com/about-cloudlabs,https://cloudlabslearning.com/about-cloudlabs,54,225.40740740740742,1.8888888888888888,1.3333333333333333,1.0,0.7962962962962963,0.018518518518518517,0.11009320599306013,External -> https://cloudlabslearning.com/about-cloudlabs -> https://cloudlabslearning.com/about-cloudlabs
Direct/Unknown,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/high-school,53,338.22641509433964,20.056603773584907,3.9622641509433962,0.0,0.0,0.24528301886792453,0.6414123487880594,Direct/Unknown -> https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND -> https://cloudlabslearning.com/high-school
Direct/Unknown,https://cloudlabslearning.com/,https://cloudlabslearning.com/higher-education,52,582.1730769230769,14.826923076923077,4.5576923076923075,0.0,0.0,0.09615384615384616,1.1700898313353343,Direct/Unknown -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/higher-education
External,https://cloudlabslearning.com/blogs-and-news/88,https://cloudlabslearning.com/blogs-and-news/88,52,220.40384615384616,1.5961538461538463,1.1923076923076923,1.0,0.8269230769230769,0.0,0.0921943967094429,External -> https://cloudlabslearning.com/blogs-and-news/88 -> https://cloudlabslearning.com/blogs-and-news/88
https://cloudlabslearning.com/,https://cloudlabslearning.com/elementary-school,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,49,187.79591836734693,4.530612244897959,3.2244897959183674,0.0,0.0,0.0,0.08578580114502657,https://cloudlabslearning.com/ -> https://cloudlabslearning.com/elementary-school -> https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND
External,https://cloudlabslearning.com/hybrid-laboratories,https://cloudlabslearning.com/hybrid-laboratories,45,86.91111111111111,1.3111111111111111,1.0222222222222221,1.0,0.9777777777777777,0.022222222222222223,-0.23175592380303162,External -> https://cloudlabslearning.com/hybrid-laboratories -> https://cloudlabslearning.com/hybrid-laboratories
External,https://cloudlabslearning.com/,https://cloudlabslearning.com/about-cloudlabs,45,636.6888888888889,10.755555555555556,3.8222222222222224,0.0,0.0,0.022222222222222223,1.2382200013020055,External -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/about-cloudlabs
https://cloudlabslearning.com/,https://cloudlabslearning.com/elementary-school,https://cloudlabslearning.com/,45,525.3555555555556,12.044444444444444,3.8666666666666667,0.0,0.0,0.1111111111111111,0.9895239665080753,https://cloudlabslearning.com/ -> https://cloudlabslearning.com/elementary-school -> https://cloudlabslearning.com/
Direct/Unknown,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/about-cloudlabs,44,276.65909090909093,9.159090909090908,3.2954545454545454,0.0,0.0,0.09090909090909091,0.3534684206370462,Direct/Unknown -> https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND -> https://cloudlabslearning.com/about-cloudlabs
External,https://cloudlabslearning.com/,https://cloudlabslearning.com/curriculum,44,467.65909090909093,13.636363636363637,5.204545454545454,0.0,0.0,0.09090909090909091,0.8950868670046309,External -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/curriculum
Direct/Unknown,https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND,https://cloudlabslearning.com/certification,43,326.27906976744185,20.906976744186046,3.604651162790698,0.0,0.0,0.16279069767441862,0.616728223137724,Direct/Unknown -> https://cloudlabslearning.com/request-demo?err=SUBSCRIPTION_NOT_FOUND -> https://cloudlabslearning.com/certification
External,https://cloudlabslearning.com/privacy-policies,https://cloudlabslearning.com/privacy-policies,39,109.17948717948718,1.2307692307692308,1.1538461538461537,1.0,0.8461538461538461,0.0,-0.17739572373473353,External -> https://cloudlabslearning.com/privacy-policies -> https://cloudlabslearning.com/privacy-policies
External,https://cloudlabslearning.com/error/500,https://cloudlabslearning.com/error/500,39,85.94871794871794,0.3076923076923077,1.0,1.0,1.0,0.0,-0.2463751765309246,External -> https://cloudlabslearning.com/error/500 -> https://cloudlabslearning.com/error/500
https://cloudlabslearning.com/terms-and-conditions,https://cloudlabslearning.com/page-not-found,https://cloudlabslearning.com/page-not-found,35,38.34285714285714,0.08571428571428572,1.0285714285714285,1.0,0.9714285714285714,0.0,-0.3617408499588754,https://cloudlabslearning.com/terms-and-conditions -> https://cloudlabslearning.com/page-not-found -> https://cloudlabslearning.com/page-not-found
External,https://cloudlabslearning.com/terms-conditions,https://cloudlabslearning.com/terms-conditions,35,68.17142857142858,1.6571428571428573,1.2285714285714286,1.0,0.8857142857142857,0.0,-0.26853363861899754,External -> https://cloudlabslearning.com/terms-conditions -> https://cloudlabslearning.com/terms-conditions
Direct/Unknown,https://cloudlabslearning.com/support,https://cloudlabslearning.com/support,35,83.02857142857142,2.3714285714285714,1.2,1.0,0.9142857142857143,0.05714285714285714,-0.22520910545882825,Direct/Unknown -> https://cloudlabslearning.com/support -> https://cloudlabslearning.com/support
External,https://cloudlabslearning.com/downloads,https://cloudlabslearning.com/,34,555.9411764705883,6.088235294117647,3.323529411764706,0.0,0.0,0.029411764705882353,0.9817484259815902,External -> https://cloudlabslearning.com/downloads -> https://cloudlabslearning.com/
https://cloudlabslearning.com/,https://cloudlabslearning.com/,https://cloudlabslearning.com/,34,167.73529411764707,0.6176470588235294,1.0,1.0,1.0,0.0,-0.04815118288162162,https://cloudlabslearning.com/ -> https://cloudlabslearning.com/ -> https://cloudlabslearning.com/
Direct/Unknown,https://cloudlabslearning.com/privacy-policies,https://cloudlabslearning.com/privacy-policies,34,39.38235294117647,0.35294117647058826,1.0,1.0,1.0,0.0,-0.35659987190637454,Direct/Unknown -> https://cloudlabslearning.com/privacy-policies -> https://cloudlabslearning.com/privacy-policies
